"","SAMPLE_ID","sitename","PAHs","PCBs","DDTs","PAHsSL","PCBsSL","DDTsSL"
"1","CSP-1","East End Beach",202.671613296844,3.41020730288496,1.79161391103234,"Below ERL","Below ERL","Between ERL and ERM"
"2","CSP-2","Amethyst Lot",334508,4.23506475581987,1.95884401514239,"Above ERM","Below ERL","Between ERL and ERM"
"3","CSP-3","Maine State Pier/Ocean Gateway",39671,49.6813111667363,159.078269142593,"Between ERL and ERM","Between ERL and ERM","Above ERM"
"4","CSP-4","Maine Wharf",31253,108.481930885242,101.284270904361,"Between ERL and ERM","Between ERL and ERM","Above ERM"
"5","CSP-5","Portland Pier",85721,237.262936074665,315.234271436495,"Above ERM","Above ERM","Above ERM"
"6","CSP-6","Chandler's Wharf",64731,30.3441993028062,2.67545992600967,"Above ERM","Between ERL and ERM","Between ERL and ERM"
"7","CSP-7","Union Wharf",128883.333333333,109.08094570424,65.7133627172832,"Above ERM","Between ERL and ERM","Above ERM"
"8","CSP-7D","Union Wharf",97735,146.224815425301,53.754272404015,"Above ERM","Between ERL and ERM","Above ERM"
"9","CSP-8","Wright Wharf",1366220,NA,272.288884919716,"Above ERM",NA,"Above ERM"
"10","CSP-9","Holyoke Wharf",108250,76.0998532324729,82.8887174096325,"Above ERM","Between ERL and ERM","Above ERM"
"11","CSP-10","Deake's Wharf",8627.8,3.46101672599342,1.79010406327921,"Between ERL and ERM","Below ERL","Between ERL and ERM"
"12","CSP-11","Portland Yacht Services",43509,247.448804427474,191.154276098372,"Between ERL and ERM","Above ERM","Above ERM"
"13","CSP-12","Ricker's Wharf",8163.7,6.68835153025058,5.42158361675763,"Between ERL and ERM","Below ERL","Between ERL and ERM"
"14","CSS-13","South Port Marina",8436.1,18.2696093430584,14.4932761450043,"Between ERL and ERM","Below ERL","Between ERL and ERM"
"15","CSP-14","Aspasia/Sunset Marina",2210.3,3.71582630651411,4.38271441430092,"Below ERL","Below ERL","Between ERL and ERM"
"16","CSS-15","Port Harbor/ Breakwater Marina",886.755,4.07814939827646,2.83487556234212,"Below ERL","Below ERL","Between ERL and ERM"
